Iteration, Time, Mean, Best, City1, City2, City3, City4, City5, City6, City7, City8, City9, City10, City11, City12, City13, City14, City15, City16, City17, City18, City19, City20, City21, City22, City23, City24, City25, City26, City27, City28, City29,
0,0.013942956924438477,92173.54976436326,75632.69393360202,10,0,2,4,17,21,19,27,24,15,25,18,13,9,5,8,16,20,22,26,23,7,6,3,14,28,11,1,12,
1,0.023227930068969727,80463.38396906784,75375.18870950608,10,0,4,2,21,17,19,27,24,15,25,18,13,9,5,8,16,20,22,26,23,7,6,3,14,28,11,1,12,
2,0.02956104278564453,81089.30982284357,74207.59786534404,10,0,4,2,17,21,19,27,24,15,25,18,13,9,5,8,16,20,22,26,23,7,6,3,14,28,11,1,12,
3,0.0352480411529541,75651.49708727567,70189.29328459472,10,0,4,2,17,21,19,27,24,15,25,18,13,9,5,8,16,20,22,26,23,12,6,3,14,28,11,1,7,
4,0.03989291191101074,74917.69254562877,70189.29328459472,10,0,4,2,17,21,19,27,24,15,25,18,13,9,5,8,16,20,22,26,23,12,6,3,14,28,11,1,7,
5,0.04580974578857422,72064.48775733386,69978.10510969687,10,0,4,2,17,21,18,27,24,15,25,19,13,9,5,12,16,20,22,26,23,7,6,3,14,28,11,1,8,
6,0.05087852478027344,70594.29403670193,70189.29328459472,10,0,4,2,17,21,19,27,24,15,25,18,13,9,5,8,16,20,22,26,23,12,6,3,14,28,11,1,7,
7,0.05561542510986328,71086.87258776055,70126.95245432285,10,1,4,2,17,21,19,27,24,15,25,18,13,9,5,8,16,20,22,26,23,12,6,3,14,28,11,0,7,
8,0.060552358627319336,72692.21993294517,69909.52806409502,10,0,4,3,17,21,19,27,24,15,25,18,13,9,5,8,16,20,22,26,23,12,6,2,14,28,11,1,7,
9,0.06661558151245117,73519.39215712264,70063.17795590946,10,0,4,2,17,21,19,27,24,15,25,18,13,9,5,8,16,20,22,26,23,3,6,12,14,28,11,1,7,
10,0.07259345054626465,74318.61577397105,69583.3361362875,10,1,4,2,17,21,28,27,24,15,25,18,13,9,5,8,16,20,22,26,23,12,6,3,14,19,11,0,7,
11,0.0777585506439209,71752.79943817316,69112.63364150304,10,1,4,2,18,21,28,27,24,15,25,17,13,9,5,8,16,20,22,26,23,12,6,3,14,19,11,0,7,
12,0.08310151100158691,69352.09384188631,68972.71499067881,7,1,4,2,18,16,19,27,24,15,25,17,13,9,5,8,21,20,22,26,23,12,6,3,14,28,11,0,10,
13,0.0888514518737793,69995.92891757138,68220.58864510777,7,1,4,2,18,21,28,27,24,15,25,17,13,9,5,8,16,20,22,26,23,12,6,3,14,19,11,0,10,
14,0.09474372863769531,69604.04971899038,67729.33373069907,7,1,4,2,18,21,28,27,24,15,22,17,13,9,5,8,16,20,25,26,23,12,6,3,14,19,11,0,10,
15,0.10011577606201172,69488.95455052902,67258.56233079851,7,1,4,2,18,21,28,27,24,15,19,17,13,9,5,8,16,20,22,23,26,12,6,3,14,25,11,0,10,
16,0.10494494438171387,68259.91525830977,64614.82159862032,7,1,4,2,18,21,28,27,24,15,19,17,22,9,5,8,16,20,25,26,23,12,6,3,14,13,11,0,10,
17,0.11191296577453613,68764.27625236889,64614.82159862032,7,1,4,2,18,21,28,27,24,15,19,17,22,9,5,8,16,20,25,26,23,12,6,3,14,13,11,0,10,
18,0.11725997924804688,66074.01176730597,64614.82159862032,7,1,4,2,18,21,28,27,24,15,19,17,22,9,5,8,16,20,25,26,23,12,6,3,14,13,11,0,10,
19,0.12273597717285156,66809.44812056271,64057.472234358844,7,1,4,2,18,21,28,27,24,15,19,20,22,9,5,8,16,17,25,26,23,12,6,3,14,13,11,0,10,
20,0.1282789707183838,66457.46292144964,64057.472234358844,7,1,4,2,18,21,28,27,24,15,19,20,22,9,5,8,16,17,25,26,23,12,6,3,14,13,11,0,10,
21,0.13321900367736816,67464.8681983919,64057.472234358844,7,1,4,2,18,21,28,27,24,15,19,20,22,9,5,8,16,17,25,26,23,12,6,3,14,13,11,0,10,
22,0.1385509967803955,68011.68751719366,64020.7996882319,7,1,4,2,18,21,28,27,24,26,19,20,22,9,5,8,16,17,25,15,23,12,6,3,14,13,11,0,10,
23,0.143873929977417,67268.66849788203,64020.7996882319,7,1,4,2,18,21,28,27,24,26,19,20,22,9,5,8,16,17,25,15,23,12,6,3,14,13,11,0,10,
24,0.14930295944213867,66179.57302479909,64020.7996882319,7,1,4,2,18,21,28,27,24,26,19,20,22,9,5,8,16,17,25,15,23,12,6,3,14,13,11,0,10,
25,0.1544511318206787,66492.1519389274,64020.7996882319,7,1,4,2,18,21,28,27,24,26,19,20,22,9,5,8,16,17,25,15,23,12,6,3,14,13,11,0,10,
26,0.16008710861206055,65900.62440137714,63328.621958525815,7,1,4,3,18,21,28,27,24,26,19,20,22,9,5,8,16,17,25,15,23,12,6,2,14,13,11,0,10,
27,0.16539645195007324,66990.78922072015,63328.621958525815,7,1,4,3,18,21,28,27,24,26,19,20,22,9,5,8,16,17,25,15,23,12,6,2,14,13,11,0,10,
28,0.17172670364379883,65492.09873099944,62090.26853134999,7,1,5,3,18,21,28,27,24,26,19,20,22,9,4,8,16,17,25,15,23,12,6,2,14,13,11,0,10,
29,0.1784217357635498,65561.08164522727,62090.26853134999,7,1,5,3,18,21,28,27,24,26,19,20,22,9,4,8,16,17,25,15,23,12,6,2,14,13,11,0,10,
30,0.18435955047607422,67510.12779557834,62090.26853134999,7,1,5,3,18,21,28,27,24,26,19,20,22,9,4,8,16,17,25,15,23,12,6,2,14,13,11,0,10,
31,0.19052767753601074,66907.523355149,62055.461277933675,7,1,5,3,18,21,28,27,24,26,19,20,22,9,4,8,14,17,25,15,23,12,6,2,16,13,11,0,10,
32,0.1969907283782959,68837.3661463135,61899.31185048528,7,1,5,3,18,21,28,27,24,26,19,20,22,9,4,2,16,17,25,15,23,12,6,8,14,13,11,0,10,
33,0.20380496978759766,70754.95747186229,59638.967429702476,7,1,5,14,18,21,28,27,24,26,19,20,22,9,4,2,16,17,25,15,23,12,6,8,3,13,11,0,10,
34,0.21042895317077637,62746.59519618131,58093.917940423125,7,1,5,14,18,21,28,27,24,26,19,20,22,9,4,8,16,17,25,15,23,12,6,2,3,13,11,0,10,
35,0.2165050506591797,61306.7444718271,58093.917940423125,7,1,5,14,18,21,28,27,24,26,19,20,22,9,4,8,16,17,25,15,23,12,6,2,3,13,11,0,10,
36,0.22205424308776855,60974.89752256477,58093.917940423125,7,1,5,14,18,21,28,27,24,26,19,20,22,9,4,8,16,17,25,15,23,12,6,2,3,13,11,0,10,
37,0.22738432884216309,60125.823544445935,58093.917940423125,7,1,5,14,18,21,28,27,24,26,19,20,22,9,4,8,16,17,25,15,23,12,6,2,3,13,11,0,10,
38,0.23227763175964355,59865.69932362069,56699.36096880058,7,10,5,14,18,21,28,27,24,26,19,20,22,9,4,8,16,17,25,15,23,12,6,2,3,13,11,0,1,
39,0.2376234531402588,59010.13459086063,56699.36096880058,7,10,5,14,18,21,28,27,24,26,19,20,22,9,4,8,16,17,25,15,23,12,6,2,3,13,11,0,1,
